Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,6.5026e+05,2.6219e+07,1.9733e+07,1.3739e+07,1.7166e+06
2,4.4754e+03,8.1579e+08,2.5251e+08,2.1115e+07,5.2363e+03
3,1.6329e+03,2.0687e+04,2.0828e+04,1.3467e+04,1.7111e+04
4,1.7514e+01,2.5996e+02,9.5283e+01,4.1253e+01,2.8846e+01
5,2.0105e+01,2.0493e+01,2.0417e+01,2.0398e+01,2.0543e+01
6,2.2033e+00,6.3108e+00,4.0014e+00,3.3448e+00,3.6400e+00
7,5.4011e-02,3.9984e+01,8.0940e+00,3.7040e-01,7.4475e-02
8,7.2696e+00,2.5320e+01,1.4671e+01,1.2338e+01,1.6869e+01
9,9.8555e+00,3.3245e+01,2.2132e+01,1.6095e+01,2.4467e+01
10,1.6907e+02,9.7422e+02,5.1843e+02,3.3073e+02,3.8424e+02
11,5.5017e+02,1.2316e+03,9.6166e+02,7.7194e+02,1.0637e+03
12,2.4918e-01,9.7918e-01,8.5978e-01,8.4969e-01,1.1069e+00
13,1.6825e-01,1.5488e+00,3.6344e-01,2.4493e-01,2.7126e-01
14,2.9645e-01,7.5064e+00,1.0728e+00,4.5416e-01,4.3870e-01
15,1.0419e+00,3.5108e+01,7.7786e+00,2.2581e+00,1.5979e+00
16,2.7782e+00,3.5554e+00,3.3121e+00,3.2780e+00,3.5895e+00
17,4.4819e+04,5.7440e+05,5.8414e+05,5.2481e+05,1.5050e+05
18,2.3651e+03,1.7757e+04,1.1313e+05,1.6438e+04,1.0794e+04
19,1.5083e+00,9.1000e+00,4.6540e+00,2.6449e+00,2.4317e+00
20,1.2494e+03,2.3066e+04,6.5040e+03,6.7841e+03,1.0622e+04
21,2.3658e+03,1.9674e+05,2.1169e+05,1.0274e+05,1.5027e+04
22,2.1822e+01,1.4471e+02,1.2290e+02,7.7622e+01,6.1099e+01
23,3.2945e+02,3.5255e+02,3.3771e+02,3.3118e+02,3.3041e+02
24,1.2344e+02,1.8107e+02,1.6198e+02,1.3911e+02,1.3759e+02
25,1.8034e+02,1.9995e+02,1.9757e+02,1.9939e+02,1.9927e+02
26,1.0013e+02,1.0234e+02,1.0027e+02,1.0025e+02,1.0028e+02
27,2.0665e+02,4.0829e+02,3.6480e+02,3.3075e+02,3.1702e+02
28,4.0707e+02,1.0151e+03,6.3040e+02,4.8659e+02,4.2352e+02
29,4.1250e+02,3.0855e+06,2.8811e+05,4.1881e+04,1.5624e+05
30,8.5598e+02,1.0322e+04,3.6690e+03,1.4501e+03,8.0089e+02
